Kanji,On_Reading,Kun_Reading,Meaning,Examples,Components,Koohii_Story_1,Koohii_Story_2,Seen,Update_Date
折,セツ,おり/お・る/お・れる,bend; break; fold; submit; yield,骨折 (こっせつ) broken bone<br>折る (おる) to break; to fold<br>折れる (おれる) to be broken; to be folded,手: hand 斤: axe; 1.32 lb; catty; counter for loaves of bread; axe radical (no. 69),It´s the latest Japanese game show: Forudo! Contestants are given a sheet of paper and are told to fold it into a complex origami shape. If they´re not done in 60 seconds/ a huge axe descends from the ceiling and chops their work in half. Contestants know to recoil their hands from the falling axe/ but some have been so absorbed in folding/ they ignore the buzzer and get their fingers chopped off.,Fold some origami into the shape of an axe with your fingers. It´s even as sharp/ so watch out for paper cuts!,,
指,シ,さ・す/ゆび,finger; indicate; point to,指導 (しどう) guidance; instruction<br>指導員 (しどういん) instructor<br>目指す (めざす) to aim for; to shoot for<br>指輪 (ゆびわ) ring (jewlery)<br>指す (さす) to point; to specify; to select,手: hand 旨: delicious; relish; show a liking for; purport; will; clever; expert,Finger lickin´ delicious.,I remember this not as finger which has too many uses elsewhere but as 'fingering' then its easy: fingering some delicious...,,
敗,ハイ,やぶ・れる,defeat; failure; reversal,失敗 (しっぱい) failure,貝: shellfish 攵: strike; hit; folding chair radical variant (no. 66),If you end up in failure/ you give money to the taskmaster to train you.,The shell who was defeated before (defeat (#63)) is being chastised by the taskmaster for his failure to win.,,
数,ス/スウ,かず/かぞ・える,number; figures; to count; fate; plan,人数 (にんずう) number of people<br>数える (かぞえる) to count<br>数字 (すうじ) (math) numeral; digit; number<br>数学 (すうがく) mathematics<br>数（かず） (かず) number; amount,米: rice; USA; metre 女: woman; female 攵: strike; hit; folding chair radical variant (no. 66),Young taskmaster is learning numbers by watching women haul sacks of rice past him. 'One... two... four! No/ wrong! Go back/ go back!'.,Women toil in the rice fields carrying heavy sacks of rice to be numbered and counted by the taskmaster.,,
昔,シャク/セキ,むかし,antiquity; old times; once upon a time,昔 (むかし) a long time ago,廾: twenty; 20; twenty or letter H radical (no. 55) 日: day; sun; Japan; counter for days,Once upon a time/ the children were forced to eat their salad every day.,For those who don´t know the expression/ 'salad days' means the time of one´s youth. (originally from Shakespeare´s Antony and Cleopatra - see http://en.wikipedia.org/wiki/Salad_days). I suspect Heisig chose 'salad' as the name for the radical just for this phrase...,,
昨,サク,,previous; yesterday,昨年 (さくねん) last year<br>昨晩 (さくばん) last night<br>一昨年 (おととし) year before last<br>昨夜 (ゆうべ) last night<br>昨日 (きのう) yesterday,日: day; sun; Japan; counter for days 乍: though; notwithstanding; while; during; both; all,One can use a simple word play to remember this character - the day that I saw before today was yesterday.,Yester-DAY/ all my troubles seemed SAW far away...,,
晴,セイ,は・らす/は・れる,clear up,素晴らしい (すばらしい) wonderful; splendid<br>晴れ (はれ) clear weather; fine weather<br>晴れる (はれる) to clear up; to be sunny,日: day; sun; Japan; counter for days 青: blue; green,Sun and blue sky! Yep/ the weather´s cleared up!,When we speak of clearing up we easily think of both the sun and blue skies. But in another since to clear up is the absence of weather. And therefor the reason weather has no place in its writing.,,
曲,キョク,ま・がる/ま・げる,bend; lean; curve; fault; injustice; melody; composition,作曲 (さっきょく) composition (of music)<br>曲る (まがる) to turn; to bend,曰: say; reason; pretext; history; past; flat sun radical (no. 73) 廾: twenty; 20; twenty or letter H radical (no. 55),It looks like the mouth of Bender the robot/ from Matt Groening´s animated series 'Futurama'. Thus/ I use the character Bender the robot as a primitive.,Also means 'melody'. Think of it as a pictogram of a guitar where you have to bend the strings to make a melody.,,
最,サイ,もっと・も,extreme; most,最低 (さいてい) least; lowest; worst<br>最終 (さいしゅう) last; final<br>最高 (さいこう) most; highest; best; finest<br>～最中 (～さいちゅう) in the middle of ～<br>最初 (さいしょ) beginning; first,日: day; sun; Japan; counter for days 取: take; fetch; take up,TAKE the UTMOST care when you SUN bath all DAY/ or you´ll get burned from your EARS to your CROTCH.,Do your utmost - seize(take) the day.,,
望,ボウ/モウ,のぞ・む,ambition; aspire to; desire; expect; hope,失望 (しつぼう) disappointment; despair<br>希望 (きぼう) request; hope; aspiration<br>希望者 (きぼうしゃ) applicant<br>望み (のぞみ) wish; desire<br>望む (のぞむ) to desire; to wish for,亡: deceased; the late; dying; perish 月: month; moon 玉: jewel; ball,You´re dead meat/ buddy/ my ambition is to be king.,The ambitions of kings often result in dead bodies.,,
期,キ/ゴ,,date; period; term,予期 (よき) expectation; assumption<br>学期 (がっき) school term; semester<br>定期 (ていき) fixed period; fixed term<br>延期 (えんき) postponement; deferment<br>時期 (じき) time; season,其: that 肉: meat,The slowest remote chess game ever: a one month period between every move.,The girl´s panties are all in the bushel basket as it´s that time of the month again... her period.,,
未,ミ,,not yet; still; sign of the ram,未来 (みらい) the future,木: tree; wood,I believe a better version of that by mameha1977: [Cheat] Remember these as a set: The tree (木) does not yet (未) have exremities (末) of vermilion (朱).,[Cheat] Remember these as a set: The tree (木) is not yet (末) vermilion (朱).,,
末,バツ/マツ,すえ,close; end; posterity; tip,年末 (ねんまつ) end of the year<br>粗末 (そまつ) crude; rough; shabby<br>週末 (しゅうまつ) weekend<br>末（すえ） (すえ) tip; end<br>末（まつ） (まつ) the end of,木: tree; wood,The tree has reached the extremity of its growth and no longer produces small/ new branches at the top. Instead the existing top branch just grows longer and longer.,There are no great stories for this one yet/ and I always forget it.. So/ let´s try something ridiculous: The man lived by himself in the wilderness/ with no females within miles. So/ his only way of relief was to stick his extremity into a small hole in a tree.. The poor guy. Which horizontal stroke is the extremity? The longer one or the shorter one? That/ my friends/ is up to your own imaginations. I´d prefer not to dwell on that point/ myself. ;).,,
束,ソク,たば,control; manage; ream; sheaf,約束 (やくそく) promise; agreement,木: tree; wood 口: mouth,Mnemonic: Bundle of joy. Here I see the proverbial stork with a baby hanging from its mouth fly straight into a tree. Painful/ but he doesn´t drop the bundle.,Unlike in 杏/ this big mouth isn´t content to wait for apricots to fall in his mouth/ so he has climbed the tree and is taking them in bundles.,,
果,カ,は・たす/は・て/は・てる,fruit; finish; complete; achieve,効果 (こうか) effect; efficacy<br>効果的 (こうかてき) effective; successful<br>結果 (けっか) result; consequence; outcome<br>果物 (くだもの) fruit,田: rice field; rice paddy 木: tree; wood,If only Eve had used her brains and not taken the forbidden fruit from the tree.,Eve ate fruit from the tree and knowledge filled her brain.…,,
様,ヨウ,さま,polite suffix; manner; situation; way,同様 (どうよう) identical; equal to<br>様々 (さまざま) various<br>様子 (ようす) state; situation; appearance<br>模様 (もよう) model; pattern; example<br>王様 (おうさま) king,木: tree; wood 羊: sheep 水: water,Here we have the requirements to be counted among the ranks of the noble Esq. You must posses a forested estate/ herds of sheep/ and granary full of grains of rice.,This is -Sama/ a generic high term of respect for someone in an unusual profession. If you met a person that created a wooden sheep that was squeezing a single grain of rice out of its ass/ you´d definitely call that person -sama. Because that is impressive.,,
横,オウ,よこ,horizontal; perverse; side; sideways; unreasonable; width; woof,横切る (よこぎる) to cross (e.g. road)<br>横断 (おうだん) crossing; traversing<br>横 (よこ) horizontal (as opposed to vertical); lying down,木: tree; wood 黄: yellow,A tree went all yellow. It died and fell down/ ending up sideways.,In a horrible accident/ a yellow schoolbus gets wrapped sideways around a tree.,,
機,キ,はた,machine; airplane; opportunity; occasion; efficacy,機嫌 (きげん) mood; spirits | be in a good mood<br>機械 (きかい) machine; apparatus<br>機能 (きのう) function; feature<br>機会 (きかい) chance; opportunity<br>飛行機 (ひこうき) airplane,木: tree; wood 幾: how many; how much; how far; how long; some; several,An abacus is a mechanism made of wood used to calculate how many ´anythings´.,To avoid confusing with contraption (#677)/ focus on the 'ism' of mechanism. For example/ fetishism refers to having a fetish; mechanism here refers to having a mecha-like property/ where mecha is a type of anime robot that can transform itself. Imagine a mecha that can transform itself between two forms: a huge immovable tree (as a form of defense) and a gigantic marching abacus that smashes enemies between its giant beads.,,
欠,ケツ,か・く/か・ける,lack; gap,欠ける (かける) to be chipped; to be broken | to be lacking; to be insufficient<br>欠席 (けっせき) absence; non-attendance<br>欠点 (けってん) defect; flaw; weak point<br>欠陥 (けっかん) defect; deficiency; shortage,欠: yawn/ lack/ yawn radical (no. 76),To me/ this kanji looks like a person with two arms and two legs/ but who lacks a head.,When your body lacks oxygen you yawn.,,
